student_id,session_id,session_date,age,level,vocabulary_score,grammar_score,fluency_score,response_time,correct_answers,incorrect_answers,feedback_received,adaptive_content,overall_performance,engagement_score,learning_efficiency,learning_outcome
16,16,2025-01-16,25,Intermediate,64.66384233918998,73.26460509890276,59.537757616481855,6.746883957225688,29,4,Excellent,1,65.82206835152486,69.48014168599181,0.8506824593786162,0
17,17,2025-01-17,20,Advanced,44.076324477621334,80.01774395117033,47.93394368448425,6.906443603276589,29,1,Excellent,0,57.3426707044253,69.42329457268113,0.9164467519395018,0
18,18,2025-01-18,23,Advanced,60.16306805619159,73.13322565296778,52.911550983308004,7.839254688740142,21,9,Needs Improvement,0,62.0692815641558,79.00392357707318,0.7017784646010634,0
19,19,2025-01-19,22,Intermediate,51.028056246116165,44.61423960366286,70.27058787537936,11.889971612008143,22,1,Excellent,0,55.3042945750528,63.174010782724196,0.8777322266195378,0
20,20,2025-01-20,19,Intermediate,60.91998943338264,69.81607594301842,61.65815556575832,16.281930493153567,11,3,Excellent,1,64.1314069807198,78.85632092636584,0.954221840478771,0
21,21,2025-01-21,25,Beginner,50.178914017112135,67.47918283610719,78.71513414722975,18.583082568933516,25,3,Excellent,1,65.45774366681636,62.851207219548584,0.8070699661524264,0
22,22,2025-01-22,29,Intermediate,82.02262031384667,85.01606340371357,82.62924774691714,17.53058795426369,15,3,Needs Improvement,1,83.22264382149247,62.84860942254993,0.732486806944875,1
23,23,2025-01-23,23,Intermediate,48.70966682891268,60.21198648221046,67.08232091083799,7.953318076635254,28,5,Excellent,1,58.66799140732038,81.84550071565447,0.8262631749229619,0
24,24,2025-01-24,19,Advanced,88.03902757434885,56.05405485435251,77.91336460280296,11.617258283459485,22,1,Excellent,1,74.00214901050144,69.72405521498389,0.918131334717552,0
25,25,2025-01-25,29,Intermediate,60.79536830734704,77.49253822182331,55.3452256597285,7.991173966378025,26,5,Excellent,0,64.54437739629962,89.32268843141243,0.7321903631112017,0
26,26,2025-01-26,22,Beginner,82.31226460095246,60.63376630416983,60.748560770003905,8.967077250007861,18,6,Excellent,0,67.89819722504207,61.12058809306665,0.7618145680638669,0
27,27,2025-01-27,18,Intermediate,71.43824091029725,72.30480875025316,75.63888381084155,12.553204722678291,26,9,Needs Improvement,1,73.12731115713065,73.35319991153982,0.74426555404861,0
28,28,2025-01-28,29,Advanced,76.76751493328763,72.32250450623035,59.310599640851535,6.021635370852838,11,2,Needs Improvement,1,69.46687302678983,63.394078130220706,0.9390843266725675,0
29,29,2025-01-29,27,Advanced,78.386194403339,84.4019532180059,69.42524675794944,8.272614943899098,28,7,Excellent,1,77.40446479309811,70.54136900274327,0.718867786735746,1
30,30,2025-01-30,23,Intermediate,65.24224409465089,69.93462011595487,49.26863895412558,19.03067241960676,28,1,Excellent,0,61.481834388243776,89.94667351827152,0.9059759506343299,0
31,31,2025-01-31,29,Advanced,67.16502616816442,65.10768049809934,69.9885657485249,11.991744389877335,16,7,Excellent,1,67.42042413826289,86.66527535215596,0.8099370762259573,0
32,32,2025-02-01,26,Beginner,65.69979339043624,46.94356631982585,83.07568536134468,11.680797889668083,19,4,Excellent,0,65.23968169053559,61.44973226566191,0.9267373728655907,0
33,33,2025-02-02,18,Beginner,69.40291890450396,45.786880333935265,83.43198199117128,5.2185073212691835,19,1,Needs Improvement,0,66.20726040987017,76.89767531477051,0.9893150256352112,0
34,34,2025-02-03,28,Intermediate,41.46972228782536,47.71607826415397,76.21722031647698,8.710996205875187,29,6,Needs Improvement,1,55.134340289485436,79.43466914473308,0.7343635898759446,0
35,35,2025-02-04,28,Intermediate,59.77575849245076,48.592424066354724,77.2876689538063,17.99438653973272,18,1,Needs Improvement,0,61.88528383753726,66.28603871850378,0.7943155123202374,0
36,36,2025-02-05,27,Intermediate,70.30943567805858,71.89385463318169,67.89637225753503,7.469426423880031,26,5,Needs Improvement,0,70.03322085625844,64.35316720189351,0.9430376283156571,0
37,37,2025-02-06,29,Advanced,69.88617826279321,77.04906251372893,69.23340450829124,11.226874093020816,24,9,Excellent,1,72.0562150949378,87.1314340399657,0.7798475158153529,0
38,38,2025-02-07,29,Beginner,79.64780473028158,66.49957614632093,46.6825290705259,5.214963588005019,11,2,Excellent,0,64.2766366490428,89.0644932445013,0.7645361791138122,0
39,39,2025-02-08,20,Beginner,72.75046694160542,81.45088662727454,62.192959421065055,12.175032225058338,13,8,Needs Improvement,1,72.13143766331501,89.75678571958926,0.9476133933606915,0
40,40,2025-02-09,29,Advanced,89.60666581703362,89.56316133668166,62.53881419431819,5.315316600893257,28,2,Needs Improvement,0,80.56954711601117,83.69285321203904,0.9961247092017911,1
41,41,2025-02-10,24,Beginner,54.19272643043225,81.0006314559678,87.92489178338701,17.294143295987,26,2,Excellent,1,74.37274988992903,79.90506208215771,0.8670641770443897,0
42,42,2025-02-11,21,Intermediate,57.957551483311576,74.74411868379795,61.55434313116447,17.372806512306553,14,4,Excellent,1,64.752004432758,70.37190756578994,0.7834146245000018,0
43,43,2025-02-12,26,Intermediate,59.192357593389815,66.62463497185733,67.46713224513789,16.816132824535547,16,6,Excellent,0,64.42804160346168,65.14194936974258,0.8195697884800162,0
44,44,2025-02-13,20,Intermediate,63.29064035101243,62.44265358373541,66.66256996395512,9.250461033366772,27,7,Excellent,1,64.13195463290099,62.36941798098695,0.7510390982150826,0
45,45,2025-02-14,22,Beginner,81.79990318906047,44.21961902722712,71.83808585221635,17.55855827332727,16,6,Excellent,0,65.95253602283465,80.79892405654476,0.9285661836672258,0
46,46,2025-02-15,20,Intermediate,51.78960469796049,59.96843741973454,77.4116415665948,13.144971989079039,26,8,Needs Improvement,0,63.056561228096605,83.54170245538074,0.9320422053468304,0
47,47,2025-02-16,24,Advanced,78.80001035177148,85.50673183910672,51.252093808543606,10.607121633005036,16,4,Needs Improvement,1,71.8529453331406,84.7936095736494,0.9625362977147482,0
48,48,2025-02-17,22,Advanced,60.26550915428717,80.40113149532765,66.4362209549218,14.379949395563495,13,9,Excellent,0,69.0342872015122,87.41295009911396,0.7079807690789691,0
49,49,2025-02-18,26,Beginner,70.09276918310043,50.80256825058436,81.29588536580152,5.18511569090561,17,2,Excellent,1,67.39707426649544,86.39788690915121,0.8685944024879138,0
50,50,2025-02-19,24,Advanced,71.62702666131531,63.33038923486079,63.15573569187558,7.144413164011283,22,5,Needs Improvement,0,66.03771719601723,89.99223816774278,0.7642766303029553,0
51,51,2025-02-20,19,Advanced,58.642431859446724,80.83616012792723,53.92287731867865,16.134403072553944,13,4,Excellent,0,64.46715643535087,67.32192032901754,0.8022649046477071,0
52,52,2025-02-21,21,Beginner,65.63076026029026,43.36922773927613,72.73545376781496,8.662424130742295,15,3,Needs Improvement,1,60.57848058912712,82.89922845636632,0.9354866845859522,0
53,53,2025-02-22,26,Intermediate,60.65155873238485,59.369629283432964,81.18836978995614,13.970136759931243,14,1,Needs Improvement,0,67.06985260192465,77.59378537124392,0.7576100957084488,0
54,54,2025-02-23,29,Intermediate,43.456639309330974,82.59206184369738,43.15701464636957,10.776539042345444,21,6,Needs Improvement,0,56.401905266465974,67.83735397360748,0.8915025251743269,0
55,55,2025-02-24,19,Intermediate,61.858269440841326,60.19489320850619,78.83952417036136,17.82208668198892,13,4,Needs Improvement,0,66.96422893990295,89.45715966860828,0.8963698573670794,0
56,56,2025-02-25,27,Beginner,44.86966962767761,43.880732236572044,81.08239664808856,19.286229589949656,18,3,Excellent,0,56.61093283744608,86.93694314322757,0.9862281744706902,0
57,57,2025-02-26,26,Advanced,60.25103995401608,67.12671842661257,63.07614637943034,18.253470925552854,13,7,Excellent,0,63.484634920019666,63.855470053323494,0.9325482785586812,0
58,58,2025-02-27,27,Intermediate,69.6459199915891,83.08712474591476,89.16528284092337,9.05929992040395,28,8,Needs Improvement,0,80.63277585947574,60.7847502697026,0.941090544146108,1
59,59,2025-02-28,22,Intermediate,68.97074496717504,69.51427714765799,79.33541703536545,7.9124430356912345,23,8,Excellent,0,72.60681305006617,80.6499228699803,0.859480224705368,0
60,60,2025-03-01,19,Beginner,73.13106395041602,51.31395541071159,78.68312824478329,12.116523404311025,14,2,Excellent,0,67.70938253530363,78.12391886569606,0.7560342421487112,0
61,61,2025-03-02,21,Intermediate,44.76307539773131,59.21198100686907,77.39192872060359,5.110012262542704,27,2,Excellent,1,60.45566170840132,88.07446872333438,0.8276690097155055,0
62,62,2025-03-03,29,Beginner,72.6061622765219,62.50616805909661,47.5304051609137,5.387140892947726,19,4,Excellent,0,60.88091183217741,67.0201586148111,0.864846872053546,0
63,63,2025-03-04,29,Advanced,55.60740283482235,68.96331769102633,50.861544322650545,13.299359594345,28,4,Needs Improvement,0,58.47742161616642,62.53163843684961,0.9035257755141137,0
64,64,2025-03-05,24,Beginner,59.952297306855556,77.96755128763066,63.19950657322125,12.80674106247929,21,9,Excellent,1,67.03978505590248,67.77646001315959,0.8823127335495782,0
65,65,2025-03-06,29,Beginner,82.8993126961353,44.94368088203177,53.20021749797329,19.9187298355289,27,1,Needs Improvement,1,60.34773702538012,60.567829215343906,0.818193348675173,0
66,66,2025-03-07,25,Beginner,40.45152020647751,84.48260165087831,60.76204861670202,8.027627530456371,26,0,Needs Improvement,1,61.89872349135262,61.076782535667974,0.7795939320987524,0
67,67,2025-03-08,20,Beginner,69.42063166703028,40.61548515080378,84.42320549614604,8.871558937407027,20,7,Excellent,0,64.81977410466003,87.4457341776228,0.7504692529611049,0
68,68,2025-03-09,18,Advanced,69.93569900500538,58.50261673371276,81.21634459396347,6.7031096348943,12,2,Needs Improvement,1,69.88488677756054,70.56049747505635,0.9081536158816799,0
69,69,2025-03-10,21,Advanced,59.8329888171781,41.371015498632886,71.50199392399911,18.76314514480617,26,0,Excellent,1,57.56866607993669,72.32427003029042,0.8936196022937455,0
70,70,2025-03-11,19,Intermediate,51.851392855416805,59.64871126726456,82.90601971255518,16.667168666876762,10,0,Excellent,0,64.80204127841218,60.55114963614313,0.9062117397273419,0
71,71,2025-03-12,25,Advanced,51.73370191307755,66.29062994366619,79.18861945086246,17.335086671852714,24,1,Needs Improvement,0,65.73765043586873,68.1156534051554,0.8117582358408384,0
72,72,2025-03-13,21,Advanced,84.18548348303763,65.58406932907559,61.449246592044524,18.541456819467633,18,5,Excellent,1,70.40626646805258,84.14177951224293,0.7787223467712234,0
73,73,2025-03-14,19,Intermediate,62.101218689142875,48.28141735141327,50.053257602497254,12.873499800887574,24,5,Needs Improvement,1,53.47863121435114,78.46472879000157,0.9279163986042775,0
74,74,2025-03-15,23,Advanced,56.544468149458595,72.28702550478062,65.71005200046696,11.767897871760855,12,2,Needs Improvement,0,64.84718188490206,82.61341803259246,0.9320942185166002,0
75,75,2025-03-16,23,Beginner,62.43887869157015,42.23892252523341,76.8114441264275,9.955872104984248,28,3,Excellent,0,60.496415114410354,73.41641222381355,0.8366849121900521,0
76,76,2025-03-17,27,Beginner,73.46952007296807,78.09534100662077,61.82097993647965,13.838219215217832,22,1,Excellent,0,71.12861367202284,69.2918766525399,0.8835712254301973,0
77,77,2025-03-18,21,Intermediate,47.28782841223759,87.33222169967732,73.33859548919486,11.814175951847337,21,1,Excellent,0,69.31954853370326,74.48430279985111,0.8120558992695224,0
78,78,2025-03-19,23,Intermediate,62.47169176068688,56.9884413575559,44.716371314552184,11.773483799083627,29,6,Needs Improvement,0,54.72550147759832,69.69213205217254,0.910584160035942,0
79,79,2025-03-20,19,Intermediate,69.39421855551934,65.8619690857166,77.40023681857016,19.053917955967083,10,0,Excellent,1,70.88547481993537,85.16913290022204,0.9507164789943614,0
80,80,2025-03-21,27,Beginner,87.42916774257168,58.94551390294072,80.6356809946531,19.760472714186953,26,6,Needs Improvement,0,75.67012088005517,68.93021146778537,0.9064699832006948,1
81,81,2025-03-22,29,Advanced,52.62638910377096,40.335519515202996,75.34189278902706,16.94726583994371,22,0,Needs Improvement,0,56.10126713600033,79.79290921359251,0.8537747880541409,0
82,82,2025-03-23,19,Beginner,57.96253739581228,59.2937251447558,88.36317937631827,16.351371353703925,10,5,Excellent,0,68.53981397229545,64.10946666928584,0.8375973878477111,0
83,83,2025-03-24,27,Intermediate,58.96792949612119,79.58601296306733,81.33260287303202,15.208372426686521,19,2,Excellent,0,73.29551511074018,80.6059948120473,0.8926958952927233,0
84,84,2025-03-25,21,Advanced,70.27690788224415,69.7994421091741,85.15468639382692,7.491122785002705,24,7,Excellent,0,75.07701212841505,87.398991348001,0.9039432674803991,1
85,85,2025-03-26,25,Advanced,57.83660265200008,45.06299573075795,86.6785541728824,5.886587313134818,16,5,Needs Improvement,1,63.19271751854681,78.25749463919725,0.8676188330573616,0
86,86,2025-03-27,24,Beginner,66.67559626498478,82.35697448468926,80.06739959369042,15.360894726698946,27,1,Excellent,0,76.36665678112149,76.79566140103432,0.8874826825322185,1
87,87,2025-03-28,29,Intermediate,79.08951649225148,66.55426724426215,73.71294210032495,15.93179333384864,25,7,Needs Improvement,1,73.11890861227953,88.8335480406492,0.7289766047483597,0
88,88,2025-03-29,26,Beginner,75.26927970561019,82.0861680872338,40.285929068039465,5.704594866472097,23,4,Excellent,0,65.88045895362781,78.82189665947539,0.9855296548426979,0
89,89,2025-03-30,25,Advanced,62.318432325629274,69.01107593925147,63.29128766115623,18.92077625343272,27,7,Excellent,1,64.87359864201233,67.78651299819248,0.9372319191196102,0
90,90,2025-03-31,22,Beginner,83.21080888370844,67.984422241897,68.55811493111806,6.367109591670163,16,7,Needs Improvement,1,73.25111535224117,68.77173071543221,0.8121783609120351,0
91,91,2025-04-01,19,Beginner,67.90701247969315,45.26295925985062,55.20151362239998,9.288508006568037,26,5,Needs Improvement,0,56.12382845398125,81.15919927607781,0.868843783286089,0
92,92,2025-04-02,22,Intermediate,66.99529197511063,48.3679866569314,55.905222345173605,15.085847191980568,27,1,Excellent,0,57.08950032573855,82.06309781676559,0.7141973590409264,0
93,93,2025-04-03,25,Intermediate,41.70938829695791,88.60126282482955,88.05797078550826,7.548088916067145,21,7,Excellent,0,72.78954063576525,69.10488695367046,0.7123683441997181,0
94,94,2025-04-04,27,Advanced,89.33464901785808,51.424337337738535,84.58554326013729,5.831238326633667,17,5,Excellent,0,75.11484320524464,70.3603193377899,0.7752395005335888,1
95,95,2025-04-05,26,Beginner,46.14854042648133,88.87260589951839,82.45895027508521,9.967197337462247,11,5,Excellent,0,72.49336553369498,89.73169526217261,0.906910492709387,0
96,96,2025-04-06,29,Beginner,51.55654562138233,66.59563532621317,60.30059008530553,16.489573622827685,16,7,Excellent,1,59.484257010967006,63.058576487408324,0.9556443243400035,0
97,97,2025-04-07,29,Beginner,42.584841862076345,46.78945235319686,40.684927520445726,11.205180184778905,13,0,Needs Improvement,0,43.353073911906314,72.13935085320298,0.8677557639939545,0
98,98,2025-04-08,29,Advanced,72.00014834184569,44.96511013768465,44.011112322785706,14.79459382861909,27,1,Needs Improvement,0,53.65879026743868,61.873425935925226,0.8596398218747057,0
99,99,2025-04-09,26,Advanced,51.235058848634,50.443203535287,55.60981841088018,13.69428645842205,15,8,Needs Improvement,1,52.42936026493373,84.63235085994722,0.8206928601374397,0
100,100,2025-04-10,18,Intermediate,49.000521873636174,86.28186650126679,40.78714564978385,5.333277230383706,18,7,Needs Improvement,0,58.689844674895596,62.77037516836297,0.7484793867874063,0
101,101,2025-04-11,26,Intermediate,44.42777921116207,60.70751121641134,40.8574890957599,19.8280998056856,18,6,Excellent,1,48.6642598411111,80.22022069388133,0.7355062303979762,0
102,102,2025-04-12,24,Intermediate,45.165447856200785,59.77171339964572,85.83016508212054,5.621421332290816,23,6,Needs Improvement,0,63.58910877932235,61.69450272010446,0.9282039283662897,0
103,103,2025-04-13,26,Beginner,69.23353502212944,55.6603130535087,75.3079251059527,19.517041064727273,17,4,Needs Improvement,1,66.73392439386362,80.18565113429074,0.9782510653889727,0
104,104,2025-04-14,25,Beginner,74.41039329332978,47.35309252832942,55.44779950340764,13.247962675465972,28,1,Needs Improvement,0,59.070428441688954,85.2911084078311,0.837484964915882,0
105,105,2025-04-15,18,Intermediate,59.86894942322005,64.39255985962032,46.632228880047656,19.447385405976,12,5,Excellent,1,56.964579387629335,71.96464580772172,0.8978336976146915,0
106,106,2025-04-16,29,Beginner,63.99485407960366,46.50238912555693,65.58178589475386,6.721303991207532,27,9,Needs Improvement,1,58.69300969997149,75.6637948029653,0.9743372952642824,0
107,107,2025-04-17,25,Intermediate,74.2983867991492,81.77401181911638,40.26730804271822,12.356127787782698,14,2,Excellent,0,65.4465688869946,72.04625214015847,0.7270340898802433,0
108,108,2025-04-18,25,Advanced,40.86898950927398,58.51984931376532,86.9206871929072,7.54256137799088,23,3,Needs Improvement,0,62.10317533864883,69.01466275897917,0.931144435935709,0
109,109,2025-04-19,28,Intermediate,56.15653285351392,58.74017838908982,60.74075596944736,5.764623155336636,13,9,Excellent,0,58.54582240401703,84.09790201881384,0.8850450653126725,0
110,110,2025-04-20,20,Advanced,88.65488740351732,63.70032142415779,60.116747761866634,14.262936725934674,16,1,Needs Improvement,1,70.82398552984725,68.16007721192969,0.8795911536489583,0
111,111,2025-04-21,18,Beginner,69.0056114847734,62.20638565828758,59.52968037908911,8.116751314425372,29,1,Excellent,1,63.58055917405003,81.68830273168341,0.7877621285444709,0
112,112,2025-04-22,25,Intermediate,52.71122899487466,89.74289865296608,43.46641651938824,13.815455274313189,21,7,Needs Improvement,1,61.973514722409654,66.18591237765607,0.9051680064333031,0
113,113,2025-04-23,20,Beginner,66.08650233181066,67.26905606091512,71.91611198959133,6.685467229234785,11,7,Excellent,0,68.42389012743904,67.49561388234989,0.938439326446233,0
114,114,2025-04-24,20,Advanced,57.132674406045766,44.410085189493536,76.65018098141766,9.979797071490541,20,9,Excellent,0,59.39764685898566,70.09383487731637,0.7338574494831092,0
115,115,2025-04-25,18,Advanced,66.61224944131496,70.3438670788465,73.80626987941451,16.72448837079871,23,5,Needs Improvement,1,70.25412879985866,77.67469132181364,0.8600564292942952,0
116,116,2025-04-26,28,Advanced,46.28707559033244,47.579214643494,46.921774666469716,11.555772827632815,25,4,Excellent,0,46.92935496676538,73.63266957478623,0.7303795542962228,0
117,117,2025-04-27,22,Beginner,46.63573269096387,41.5468822365671,68.94200840177963,14.416181223460045,29,7,Excellent,1,52.37487444310354,82.35434429483462,0.9617722057892933,0
118,118,2025-04-28,27,Beginner,47.17711810196964,88.53710768386242,68.4742242086127,14.711869111183189,15,3,Needs Improvement,0,68.06281666481492,66.40701901008578,0.8522910167969042,0
119,119,2025-04-29,24,Beginner,86.99098959634209,78.6769445767282,83.42053939706909,17.656325659809404,13,3,Needs Improvement,0,83.02949119004647,60.32016863546502,0.9423897067782272,1
120,120,2025-04-30,27,Beginner,76.64494591706709,89.00544962068835,58.95638291878235,9.87384191609962,24,4,Excellent,1,74.86892615217927,83.2967241535566,0.8104256912998642,0
121,121,2025-05-01,26,Advanced,48.11909473311604,63.89392240111212,58.57429718297171,15.309433438737763,10,0,Needs Improvement,0,56.8624381057333,84.64948001640218,0.7375234680448975,0
122,122,2025-05-02,29,Advanced,49.417454188280075,66.6128765574488,70.92635293590928,19.424237105692484,16,0,Needs Improvement,0,62.31889456054605,61.78440489325169,0.7124497913157134,0
123,123,2025-05-03,24,Intermediate,76.54147374354382,48.416847795956514,71.65363267497565,15.953650015368021,21,1,Needs Improvement,0,65.537318071492,78.3272256647519,0.7844528862317126,0
124,124,2025-05-04,26,Intermediate,47.808192239608694,52.345371333379276,63.46426136628952,12.348057150766168,19,7,Excellent,0,54.53927497975916,71.34620351619233,0.7732701101092235,0
125,125,2025-05-05,25,Beginner,51.72806466674143,81.92746074514142,62.15296811652105,14.46076166737894,14,6,Excellent,0,65.2694978428013,83.8168696558355,0.8681055922059886,0
126,126,2025-05-06,29,Advanced,88.16734164101996,57.80928235587971,64.70738353189414,16.09524346644662,21,9,Excellent,1,70.22800250959794,86.23243662589435,0.7065216514191122,0
127,127,2025-05-07,19,Advanced,52.76532623642159,81.34074868982094,83.0522649751656,14.184136485408086,27,8,Excellent,0,72.38611330046938,85.53011300391748,0.856171163289752,0
128,128,2025-05-08,18,Advanced,73.08161751855734,75.45068621435159,63.0583450626955,5.250137202347587,19,4,Excellent,1,70.53021626520147,83.31612742052556,0.817531522603601,0
129,129,2025-05-09,24,Intermediate,88.93156437002652,48.858546263593276,86.99658959849111,7.921602465308387,15,1,Excellent,0,74.9289000773703,68.07156686226489,0.8731366809743326,0
130,130,2025-05-10,24,Intermediate,58.71483835698963,65.37231830598711,65.20018817981631,17.15702325823199,21,6,Excellent,0,63.095781614264354,84.35668930704949,0.9107252584451093,0
131,131,2025-05-11,25,Advanced,40.87579954310311,73.86936607593584,87.46003465904457,9.08975970968727,16,7,Needs Improvement,1,67.40173342602783,76.00435427718878,0.8902275835239517,0
132,132,2025-05-12,22,Advanced,52.20736452111871,51.751860740191255,81.64159509345379,15.973431793417008,27,6,Excellent,1,61.86694011825458,61.58269844496272,0.9953933108120099,0
133,133,2025-05-13,20,Advanced,81.54385956708526,81.53442552600384,58.12156613079146,10.58180322862548,11,6,Excellent,0,73.73328374129352,73.70816549694747,0.7414796031630613,0
134,134,2025-05-14,29,Intermediate,83.23044179775184,67.24138287725934,83.18207106483081,12.828264922369147,19,4,Needs Improvement,0,77.88463191328067,88.2647375108998,0.8289211026789335,1
135,135,2025-05-15,25,Advanced,78.42596822618955,48.262102522130164,45.50316421005576,6.019599497291056,24,1,Needs Improvement,1,57.397078319458494,86.63578049206657,0.8274492209929933,0
136,136,2025-05-16,23,Advanced,45.655490953828654,69.14922130823012,86.25235876715072,7.7183834157456435,21,5,Needs Improvement,1,67.01902367640317,63.06792842991348,0.8251159611108762,0
137,137,2025-05-17,28,Beginner,79.77551858482016,89.9856902077957,71.58217575414459,19.35795445278852,26,3,Excellent,1,80.44779484892014,82.32380057143111,0.8991395176128005,1
138,138,2025-05-18,20,Beginner,85.93388984967521,47.526074583170676,42.71953742611556,18.35207080170371,13,9,Needs Improvement,1,58.72650061965381,84.17378597874705,0.8469484181640168,0
139,139,2025-05-19,18,Intermediate,70.0304771273118,80.83784650597642,72.21283618254057,14.784126663485754,16,1,Excellent,0,74.36038660527626,68.14164564710295,0.8552297679438889,0
140,140,2025-05-20,20,Advanced,87.04376781690324,50.3654501593779,88.71238270723781,11.89466896078606,18,8,Excellent,0,75.3738668945063,74.14825712223276,0.8297067976440293,1
141,141,2025-05-21,22,Advanced,81.34194418559387,79.11941647300436,43.49003273073144,15.136419393428357,28,6,Excellent,0,67.98379779644323,81.3296382439105,0.9975098383055687,0
142,142,2025-05-22,20,Beginner,73.34857584954537,76.72889615607066,67.73438548900431,14.279154336409086,16,5,Needs Improvement,0,72.60395249820677,73.17124466463444,0.9782684046457126,0
143,143,2025-05-23,18,Intermediate,68.8592618355874,55.02446928002162,77.38971748796862,13.528283834069182,11,4,Needs Improvement,0,67.09114953452588,63.383907565997305,0.7923172568093113,0
144,144,2025-05-24,22,Beginner,57.428683362098525,56.29115587822249,80.51292933497658,5.887656077953127,15,2,Excellent,1,64.74425619176587,81.17647334045165,0.7334781774300001,0
145,145,2025-05-25,27,Beginner,47.96437226214026,79.62606959814596,60.69137326603979,14.492039159922603,27,9,Excellent,1,62.76060504210867,87.3491606920591,0.9519294172115809,0
146,146,2025-05-26,24,Beginner,70.24769613452705,63.072275594365635,50.20832795841215,16.533800668567526,15,9,Excellent,1,61.17609989576828,79.57454185218472,0.9991510754277173,0
147,147,2025-05-27,24,Beginner,55.90557768090598,76.54090143559044,42.11711393861919,19.911224819683632,22,3,Needs Improvement,0,58.1878643517052,83.21402245707102,0.7877826682118936,0
148,148,2025-05-28,28,Advanced,83.32193337638228,47.39920736829174,68.98630785486124,5.1661782889146455,28,2,Excellent,1,66.56914953317842,70.75087606973486,0.8073354777525299,0
149,149,2025-05-29,26,Advanced,89.66684686793143,82.62788909507768,62.64555351338054,15.95260179966015,11,7,Needs Improvement,0,78.31342982546322,65.49594735379904,0.9824899544455609,1
150,150,2025-05-30,27,Beginner,77.62138813077863,75.54423583411597,87.43721975748555,13.576839739039707,21,2,Excellent,0,80.20094790746005,79.28320984854878,0.913338855400927,1
151,151,2025-05-31,27,Intermediate,44.52408476435254,85.34714044174169,43.03024538574549,11.510782641214352,24,6,Needs Improvement,0,57.633823530613235,69.83313617523656,0.7886914995338908,0
152,152,2025-06-01,29,Intermediate,54.43427977653191,46.61861895174862,74.26976717230028,6.913552618570563,23,6,Excellent,1,58.44088863352693,85.80220556969378,0.8743139473851745,0
153,153,2025-06-02,20,Intermediate,45.45548158828748,69.65072501802989,41.24831110600286,11.136277229523143,15,6,Needs Improvement,0,52.1181725707734,63.678841499340194,0.9832688738092769,0
154,154,2025-06-03,24,Intermediate,72.5255823895858,69.95602925201626,48.57170883552713,10.31565774479203,27,6,Needs Improvement,0,63.68444015904307,73.0039109919937,0.9435439320837335,0
